STATION,DATE,REPORT_TYPE,SOURCE,BackupElements,BackupElevation,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,Sunrise,Sunset,WindEquipmentChangeDate
72518014735,2015-01-01T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",7.0,25.0,46.0,29.97,29.65,21.0,8.8,0.0,1.4,40.0,32.0,18.0,190.0,26.0,0.00,0.0,0.0,190.0,20.0,726.0,1632.0,2006-09-08
72518014735,2015-01-02T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",17.0,32.0,57.0,30.18,29.8,26.0,9.5,0.0,8.6,33.0,37.0,26.0,250.0,30.0,T,0.0,T,310.0,23.0,726.0,1633.0,2006-09-08
72518014735,2015-01-03T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",18.0,27.0,74.0,30.46,30.16,23.0,4.3,0.0,3.7,38.0,33.0,20.0,170.0,21.0,0.57,0.0,1.6,160.0,15.0,726.0,1634.0,2006-09-08
72518014735,2015-01-04T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",35.0,39.0,86.0,29.76,29.47,38.0,10.0,0.0,15.9,26.0,45.0,33.0,290.0,33.0,0.22,1.0,0.0,290.0,24.0,726.0,1635.0,2006-09-08
72518014735,2015-01-05T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",11.0,27.0,59.0,30.12,29.73,20.0,16.8,0.0,4.1,38.0,41.0,13.0,280.0,42.0,T,0.0,T,290.0,32.0,726.0,1636.0,2006-09-08
72518014735,2015-01-06T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",5.0,13.0,68.0,30.2,29.91,12.0,5.0,0.0,-9.8,52.0,18.0,8.0,300.0,17.0,0.05,0.0,0.5,200.0,13.0,726.0,1637.0,2006-09-08
72518014735,2015-01-07T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",-1.0,9.0,57.0,30.0,29.62,9.0,12.9,0.0,-13.7,56.0,21.0,-3.0,300.0,47.0,T,0.0,T,310.0,33.0,726.0,1638.0,2006-09-08
72518014735,2015-01-08T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",-6.0,7.0,53.0,30.26,29.93,5.0,8.6,0.0,-15.5,58.0,20.0,-6.0,180.0,27.0,T,0.0,T,170.0,21.0,726.0,1639.0,2006-09-08
72518014735,2015-01-09T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",8.0,20.0,63.0,29.99,29.64,16.0,12.4,0.0,-2.4,45.0,28.0,11.0,170.0,33.0,0.05,1.0,1.5,300.0,26.0,725.0,1640.0,2006-09-08
72518014735,2015-01-10T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0.0,12.0,54.0,30.38,29.99,10.0,7.5,0.0,-10.4,53.0,20.0,3.0,290.0,27.0,T,1.0,T,280.0,21.0,725.0,1641.0,2006-09-08
